Code,GEOG,Name,Pre_1900,1900_1918,1919_1929,1930_1939,1945_1954,1955_1964,1965_1972,1973_1982,1983_1992,1993_1999,2000_2009,2010_Present,UNKNOWN,Year
E01008897,LSOA,Birmingham 067B,0,20,430,0,0,10,0,130,10,0,0,10,0,2019
E01008899,LSOA,Birmingham 037A,60,70,0,60,0,30,160,120,50,0,0,10,10,2019
E01008907,LSOA,Birmingham 040B,370,20,0,0,0,0,0,20,70,40,0,20,80,2019
E01008915,LSOA,Birmingham 030A,60,330,10,140,10,0,0,0,0,0,0,0,10,2019
E01008918,LSOA,Birmingham 094A,0,0,30,0,0,0,270,410,0,0,0,0,30,2019
E01008925,LSOA,Birmingham 102C,0,0,0,0,0,0,490,20,0,0,0,0,0,2019
E01008928,LSOA,Birmingham 102E,0,0,10,0,140,30,0,300,140,0,30,70,50,2019
E01008936,LSOA,Birmingham 111C,0,0,60,140,220,230,10,0,0,0,0,0,0,2019
E01008938,LSOA,Birmingham 111D,0,0,590,0,0,0,0,0,0,0,0,0,0,2019
E01008947,LSOA,Birmingham 122C,10,0,0,370,10,40,20,50,30,20,0,0,0,2019
E01008951,LSOA,Birmingham 112A,240,320,0,0,0,20,0,0,0,0,0,0,0,2019
E01008952,LSOA,Birmingham 112B,410,270,20,40,10,0,0,0,10,20,20,20,40,2019
E01008958,LSOA,Birmingham 113C,10,0,60,60,20,0,180,380,20,30,0,0,20,2019
E01008960,LSOA,Birmingham 116B,170,270,50,20,0,0,0,0,50,0,40,0,10,2019
E01008968,LSOA,Birmingham 110B,60,120,110,170,0,0,40,60,50,10,70,20,20,2019
E01008975,LSOA,Birmingham 118D,0,0,0,420,100,30,0,40,60,0,20,10,10,2019
E01008976,LSOA,Birmingham 121A,0,0,0,210,10,70,310,80,0,0,10,0,10,2019
E01008984,LSOA,Birmingham 074A,80,10,30,0,0,80,310,130,60,40,110,20,10,2019
E01008989,LSOA,Birmingham 064D,260,60,10,70,0,110,60,190,110,0,0,30,40,2019
E01008992,LSOA,Birmingham 079C,70,20,40,20,10,110,130,70,60,30,0,20,0,2019
E01008998,LSOA,Birmingham 031A,10,100,460,40,0,0,30,0,0,0,0,10,0,2019
E01009007,LSOA,Birmingham 023D,330,210,20,20,80,10,0,70,90,0,20,20,10,2019
E01009011,LSOA,Birmingham 028B,0,10,160,230,0,30,90,0,80,140,70,20,10,2019
E01009012,LSOA,Birmingham 028C,10,80,110,210,0,10,110,0,0,60,10,0,0,2019
